pathway,tissue,weighting_variant,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
KEGG_ECM_RECEPTOR_INTERACTION,colon,all_nes,1.2249998740685912,1.3317726059487962,1.371548557507484,0.6919940203217098,0.7858794995098028,1.0510444042671072,-1.066442911848508,0.0,0.9312450021965112,1.6044492188144308,1.2972947550098164,0.978499127571968,1.960513944988936,1.6320439822764834,-0.7952513945334839,1.5881010256499883
KEGG_ECM_RECEPTOR_INTERACTION,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960513944988936,1.6320439822764834,0.0,1.5881010256499883
KEGG_FOCAL_ADHESION,colon,all_nes,1.2460611511579336,-0.5926616912811886,1.2232931220163643,-1.106572566509169,0.9767214554287288,1.0702679036118643,-1.3005851970811404,-0.6646078055889866,0.950791713658376,1.5946153844646,0.985974173188496,0.9514575448859892,1.1993426676549244,1.7352818477407792,-0.6601952000680965,1.4683256184996645
KEGG_FOCAL_ADHESION,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5946153844646,0.0,0.0,0.0,1.7352818477407792,0.0,0.0
KEGG_TGF_BETA_SIGNALING_PATHWAY,colon,all_nes,-0.8163741262099453,-1.0760757017799776,-0.828440736301869,-1.2601448390717849,1.1126479120640216,0.691933237931202,0.8160130664053031,0.7962471868843028,0.9534499500531884,0.9480275700201608,0.9103705256969806,1.7954159192395032,-0.9645822516270856,1.3534700597963167,1.2169739462562166,0.9680810075735014
KEGG_TGF_BETA_SIGNALING_PATHWAY,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_ANGIOGENESIS,colon,all_nes,-0.6747931382858959,-1.2183272600456398,-1.0629945173332638,1.4304238554317354,0.9377317145372148,1.567604483877008,1.2688115956160022,2.330128668240125,0.7991622042665313,1.1373320776351152,0.6182437719807238,0.5569188717287414,-0.4700474144946182,1.6046301211495069,-1.411328035250312,-1.1282094098593842
HALLMARK_ANGIOGENESIS,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046301211495069,0.0,0.0
HALLMARK_APICAL_JUNCTION,colon,all_nes,0.7796063317709753,-0.5956361871481339,1.146166614600008,-1.057570892850462,-0.944720714986982,0.9509858520345532,-1.4164594113208329,-0.7365707124655625,1.2781866282337866,1.5961399273275647,1.1754340031129764,0.9545440854477508,0.9625284484603106,1.4512749270452316,1.2014183055944423,0.9380350819542196
HALLMARK_APICAL_JUNCTION,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5961399273275647,0.0,0.0,0.0,1.4512749270452316,0.0,0.0
HALLMARK_E2F_TARGETS,colon,all_nes,-3.072059717539036,-0.9485329847064526,-3.170518168258964,3.026351402526252,-1.1715700881112203,-2.8757734658240346,-0.7989755664497313,-1.5877321007569392,-3.5076708275543256,1.1470912517121106,1.915934768949384,1.2399638036626934,2.901331374718152,0.0,1.426773925863487,-1.796583803633937
HALLMARK_E2F_TARGETS,colon,significant_only,-3.072059717539036,0.0,-3.170518168258964,3.026351402526252,0.0,-2.8757734658240346,0.0,-1.5877321007569392,-3.5076708275543256,0.0,1.915934768949384,0.0,2.901331374718152,0.0,0.0,-1.796583803633937
HALLMARK_G2M_CHECKPOINT,colon,all_nes,-3.381419514989449,-0.8860899590792264,-3.20746129217846,3.127878380917554,-1.676641413811035,-2.5924021837863065,-0.9527027357537942,-1.472778055350396,-3.527491659663466,1.131365081072914,1.9295675965182773,1.3875776101367874,2.872779170031245,0.0,0.8565236807881311,-1.7688561299531016
HALLMARK_G2M_CHECKPOINT,colon,significant_only,-3.381419514989449,0.0,-3.20746129217846,3.127878380917554,0.0,-2.5924021837863065,0.0,-1.472778055350396,-3.527491659663466,0.0,1.9295675965182773,0.0,2.872779170031245,0.0,0.0,-1.7688561299531016
