gene,train_mean_pre_zscore,train_std_pre_zscore,std_used,near_zero_std,residualized
TMPRSS6,1.0254344,0.76775706,0.76775706,False,False
SATB2,6.468301,1.6165404,1.6165404,False,False
GALNT2,5.830884,0.7351796,0.7351796,False,False
STAT3,7.5963016,0.6794288,0.6794288,False,False
ESAM,2.604548,0.8360916,0.8360916,False,False
GADD45B,3.7438958,0.9388297,0.9388297,False,False
ANK1,1.1384119,0.7688136,0.7688136,False,False
LAMB1,7.068562,0.90630686,0.90630686,False,False
GYPC,3.2584555,1.0138749,1.0138749,False,False
SEC1P,1.0138688,0.5161161,0.5161161,False,False
BMF,4.5578833,0.9456484,0.9456484,False,False
MYH10,3.8867152,0.83499205,0.83499205,False,False
GALNT8,4.3663225,1.104381,1.104381,False,False
AGTRAP,3.3248765,0.8548372,0.8548372,False,False
SFTPA2,1.2473791,1.1337985,1.1337985,False,False
ABCA4,0.9803119,1.0860467,1.0860467,False,False
DLGAP5,3.8467715,0.8158121,0.8158121,False,False
SESN3,6.033978,1.0764425,1.0764425,False,False
ANO6,5.8159842,1.4630823,1.4630823,False,False
ITGB4,7.3874288,0.7926551,0.7926551,False,False
NCS1,2.4956105,1.0018243,1.0018243,False,False
CBS,2.0790296,1.2923281,1.2923281,False,False
DCDC2,1.281357,1.0034183,1.0034183,False,False
NOTCH1,6.1335616,0.8974318,0.8974318,False,False
STEAP1,3.3281198,0.99862903,0.99862903,False,False
PZP,1.3340089,1.0077984,1.0077984,False,False
ADCY3,4.504524,0.72090805,0.72090805,False,False
SHC3,1.2270226,0.79504794,0.79504794,False,False
MAFB,3.2887855,0.89115167,0.89115167,False,False
TMEM63C,2.0907662,1.0084084,1.0084084,False,False
RIPK2,2.805064,0.66596,0.66596,False,False
HOXB6,3.9292357,0.93893296,0.93893296,False,False
ODC1,6.487439,0.7676633,0.7676633,False,False
LAMB3,7.245577,1.0274003,1.0274003,False,False
HKDC1,5.8443813,1.5707896,1.5707896,False,False
NLGN2,1.9765515,0.89791775,0.89791775,False,False
FAM43A,3.4747415,1.0118669,1.0118669,False,False
HIP1,3.5339677,0.74091107,0.74091107,False,False
FOLR2,3.0695758,0.8651448,0.8651448,False,False
NPNT,5.85855,1.0618659,1.0618659,False,False
TMEM255A,1.1453238,0.5754245,0.5754245,False,False
PITX1,3.1138356,1.1785644,1.1785644,False,False
TRPC4,1.0753314,0.69705033,0.69705033,False,False
PTPRH,7.155704,1.1459167,1.1459167,False,False
PITPNC1,3.5843887,0.7313868,0.7313868,False,False
CFL2,3.3436444,0.7654189,0.7654189,False,False
MROH6,2.8141336,0.8549502,0.8549502,False,False
EGLN3,6.0517235,1.0842612,1.0842612,False,False
COL4A5,3.6510556,1.1839414,1.1839414,False,False
MDK,5.027913,1.3641084,1.3641084,False,False
EMB,5.6262465,1.6161302,1.6161302,False,False
RUNX2,3.027938,0.83282167,0.83282167,False,False
SEMA6B,2.654619,0.9920053,0.9920053,False,False
SIRPG,1.5711783,0.9867363,0.9867363,False,False
EBF1,3.2197104,1.3710705,1.3710705,False,False
EPS8L3,6.422391,1.0433017,1.0433017,False,False
HMMR,3.9248881,0.9291627,0.9291627,False,False
PTCH1,4.832945,0.97280407,0.97280407,False,False
PDZRN3,4.0042634,0.8041512,0.8041512,False,False
PLCB3,6.799796,1.0378906,1.0378906,False,False
UNC5B,4.733042,1.188598,1.188598,False,False
QSOX1,7.441024,0.9857359,0.9857359,False,False
PDE7A,4.542839,0.9151085,0.9151085,False,False
FLT4,2.3762503,0.9507324,0.9507324,False,False
TRAT1,1.8277073,0.9095049,0.9095049,False,False
ARHGEF35,4.2961226,0.9004052,0.9004052,False,False
PKP3,6.6146193,0.901758,0.901758,False,False
PAPPA,2.621937,1.0034331,1.0034331,False,False
PPP1R12B,6.5593085,1.1160924,1.1160924,False,False
TRPA1,5.0556827,1.067418,1.067418,False,False
SFXN3,4.45824,1.2470589,1.2470589,False,False
SLC6A6,4.2321672,1.2596192,1.2596192,False,False
ADAMTS8,1.0538037,0.70261365,0.70261365,False,False
TPX2,4.5511923,0.75552076,0.75552076,False,False
ERBB2,7.2356744,1.0336192,1.0336192,False,False
SOSTDC1,3.3353512,1.08268,1.08268,False,False
TPRN,5.7785263,0.89623,0.89623,False,False
CD200,3.3697796,0.72570044,0.72570044,False,False
VSTM4,3.375667,0.83814204,0.83814204,False,False
IFNLR1,4.510638,0.9306098,0.9306098,False,False
ABAT,4.8143053,1.0408474,1.0408474,False,False
CDK5R1,1.9661213,0.77826864,0.77826864,False,False
CARD16,4.1710734,0.6918875,0.6918875,False,False
VSIG10,6.5804844,1.1427433,1.1427433,False,False
SDF2L1,4.0981455,0.9451055,0.9451055,False,False
GREB1,0.88533634,0.6035418,0.6035418,False,False
PEG10,1.6704451,0.77697,0.77697,False,False
RERG,1.6724757,0.7505653,0.7505653,False,False
RAMP1,2.4848638,1.4322088,1.4322088,False,False
MUC2,10.40607,1.4874607,1.4874607,False,False
DIO2,2.394628,1.0113852,1.0113852,False,False
MAP1B,3.7322154,0.997738,0.997738,False,False
CDK1,4.6682754,0.85966665,0.85966665,False,False
RBM38,4.374654,0.89943326,0.89943326,False,False
PRSS3,6.336855,0.89672625,0.89672625,False,False
FIBCD1,1.3189807,0.9387694,0.9387694,False,False
NPIPB15,1.7688082,1.0170996,1.0170996,False,False
DPY19L1,5.0717487,0.9583947,0.9583947,False,False
ARL14,4.928324,1.0703288,1.0703288,False,False
RAP1GAP,5.0320992,0.9362914,0.9362914,False,False
MYOF,6.4171147,1.3058935,1.3058935,False,False
NOTCH2,6.600836,1.0817177,1.0817177,False,False
KIFC3,3.6812572,1.3792613,1.3792613,False,False
VIL1,8.657018,1.3003396,1.3003396,False,False
EPHA7,2.7183502,1.1303489,1.1303489,False,False
GRK5,4.313702,0.8107193,0.8107193,False,False
BMP6,3.671911,1.0305699,1.0305699,False,False
ST3GAL5,3.0254424,0.8854625,0.8854625,False,False
PLD4,2.1419342,1.0145991,1.0145991,False,False
BEND4,1.5803819,0.9140922,0.9140922,False,False
NDNF,3.216883,1.3847463,1.3847463,False,False
TMEM229A,1.1046802,1.4890413,1.4890413,False,False
STMN2,3.00636,1.0307987,1.0307987,False,False
CYP2W1,1.0934155,0.87906575,0.87906575,False,False
EMID1,3.2214217,0.8558738,0.8558738,False,False
AKR1C3,7.099997,1.1580005,1.1580005,False,False
ZNF257,1.2750083,0.74934566,0.74934566,False,False
MGAT3,4.534926,1.3565412,1.3565412,False,False
OAT,7.6045904,1.922012,1.922012,False,False
GPC3,1.5087059,1.119826,1.119826,False,False
FAM167A,1.6462259,0.7824101,0.7824101,False,False
SGCD,2.7902956,0.8707085,0.8707085,False,False
JPH2,2.0314605,0.9677974,0.9677974,False,False
C12orf75,4.624952,1.0022672,1.0022672,False,False
SLIT2,2.8896635,0.90913665,0.90913665,False,False
TBC1D9,5.1036954,0.78494674,0.78494674,False,False
MS4A2,2.655277,0.94705904,0.94705904,False,False
NEURL1B,6.3359523,0.9873421,0.9873421,False,False
BHLHE41,3.447703,1.0907732,1.0907732,False,False
